epoch,"X(0,1)","X(0,2)","X(0,3)","X(0,4)"
0,0.8251840622972422,0.8815175960499952,0.9158969178273983,0.9240502357946759
1,0.8539834787873443,0.9017075335005378,0.9131260521217079,0.9104521756970001
2,0.8594618996293628,0.9030351144794361,0.9491387802803098,0.9525124161623795
3,0.8495245898280163,0.9135749198583314,0.939017938036863,0.9407974265892682
4,0.8700449023729169,0.870375128107776,0.9012113310947493,0.9091444224235149
5,0.8619780865160872,0.9104101713529357,0.9324505978521206,0.9360818737675708
6,0.8515628845311325,0.8814781196850283,0.9148576319913456,0.9309104293700786
7,0.8756742820665531,0.9289345947684945,0.954976272490238,0.9555444056421866
8,0.8441720931910355,0.9212045342541855,0.9443356039922989,0.9452333100111104
9,0.873672924848846,0.9230823312751978,0.948651689963582,0.9539964579422651
10,0.876532801858182,0.9189860308216704,0.9463461317440879,0.9475538222706271
11,0.8677887014377905,0.9259493740616141,0.9503842047216363,0.9526019666909243
12,0.8601264364524575,0.9099536106744165,0.9415885794487445,0.9468579823404898
13,0.8783957225339422,0.9205201727406987,0.9439277468024525,0.9450127102057757
14,0.8810877721133399,0.9299435116901472,0.9533726227422633,0.9550016084069872
15,0.8537319434755971,0.9176589658752026,0.9475915540980921,0.9509318934804271
16,0.8642371064957941,0.916825325572537,0.9406164763966423,0.9529739057043647
17,0.8788277954442956,0.9317922949327105,0.9514141871307611,0.9540075520597079
18,0.8650933385823023,0.916690915243171,0.9455547729354888,0.947076236227607
19,0.8766882563379488,0.9344539793085032,0.9514449148326533,0.9525497952323944
