epoch,dice loss,BCE loss
0,0.3712772344350815,0.18661084845662118
1,0.19618195855617523,0.101581800699234
2,0.12680855536460878,0.07759747928380967
3,0.09935752558708191,0.06760389897227287
4,0.08124261736869812,0.05802594996988773
5,0.07401966345310211,0.05501489624381065
6,0.06848256003856659,0.05191868506371975
7,0.061965667605400086,0.04724107700586319
8,0.05839519101381302,0.04507217649370432
9,0.05512558418512344,0.04268235234171152
10,0.05351034790277481,0.04187208015471697
11,0.05067591732740402,0.03968672776222229
12,0.04920026558637619,0.03859449349343777
13,0.046833295106887815,0.036849470362067226
14,0.04606438398361206,0.03650243008881807
15,0.04510991847515106,0.03580846255272627
16,0.0439807556271553,0.03482553678005934
17,0.04261475574970246,0.033863123580813406
18,0.04193702405691147,0.03337638995796442
19,0.043310698688030246,0.03462922919541597
