epoch,dice loss,BCE loss
0,0.7094061147984503,0.3505509785662685
1,0.5763364620443516,0.2315908834869469
2,0.5387570283206493,0.2276541169207853
3,0.5565245224381141,0.2076520489462365
4,0.4885061566412752,0.20269191416900711
5,0.469902077838399,0.1970979683164425
6,0.4410410174287236,0.1929621595781809
7,0.4311560281063786,0.17554134140597538
8,0.40114133113106565,0.17220541974608683
9,0.3627467496488212,0.16490764936182414
10,0.4000036157604389,0.17064028282622934
11,0.37234445450059017,0.15779664606513719
12,0.3411325698999881,0.1456891944432704
13,0.33436151858299007,0.14887569972483128
14,0.3413914617132048,0.1535660483335194
15,0.330868551858617,0.1437043166373096
16,0.311975737834422,0.13685833585586127
17,0.3432641976555661,0.15379517359725486
18,0.3154947385318413,0.13023384353098522
19,0.296789360370215,0.12866471452300132
