epoch,"X(0,1)","X(0,2)","X(0,3)","X(0,4)"
0,0.21481643319129945,0.20412955559217014,0.23332257912709162,0.24276306629180908
1,0.28664918679457446,0.3751230560816251,0.40395289888748753,0.3911557105871347
2,0.3296205039207752,0.06868752648050969,0.06402860610530926,0.06229891771307358
3,0.18357486770703244,0.16999992774083064,0.2165517779497,0.11862139128721677
4,0.28226839785392466,0.24194830495577593,0.3257346118871982,0.33058888820501475
5,0.3931740742463332,0.34383536531375003,0.41324755457731394,0.4473192581763634
6,0.4087316045394311,0.3526986919916593,0.4352431581570552,0.4515791021860563
7,0.3696766174756564,0.4086990842452416,0.46800482273101807,0.4014719422046955
8,0.3719564547905555,0.4975025644669166,0.5165946080134465,0.5668083291787368
9,0.41600554356208214,0.4043417930603027,0.43261521687874427,0.4828926939230699
10,0.46974902428113496,0.4913606753716102,0.5039462098708519,0.5151235864712642
11,0.4266889966451205,0.493034827709198,0.5318496685761672,0.5401588953458346
12,0.3728013834128013,0.44168679897601787,0.42987419275137095,0.4205373586370395
13,0.3660406715594805,0.406469404238921,0.5058407847697918,0.4966844847569099
14,0.29190345910879284,0.4465862796856807,0.46452866884378285,0.49037338953751786
15,0.2797237400825207,0.24384510150322547,0.42425254950156577,0.4327917814254761
16,0.43747590505159817,0.47787231023495014,0.4929407688287588,0.5405530260159419
17,0.3615030655494103,0.45151301255592935,0.5286354624308073,0.47256977237187897
18,0.3627915730843177,0.41847813496222863,0.5046086861537054,0.5484487478549663
19,0.3945156115752,0.38299395304459793,0.4449904515193059,0.5206743772213276
