epoch,dice loss,BCE loss,MSE loss
0,0.4105594262029185,0.2342181522963625,0.29721523279493506
1,0.19792595912109723,0.0915097263500546,0.1866308461987611
2,0.11899962479417975,0.05988966910676523,0.14487691347797713
3,0.09474414587020874,0.05225247009233995,0.1206744390003609
4,0.08361963340730379,0.049194009748823715,0.10318832584854329
5,0.07258999550884421,0.04263811953591578,0.09039135683666576
6,0.06537594059199998,0.039566122531665096,0.07859903348214699
7,0.058264789256182586,0.03550009226257151,0.06924195598923799
8,0.059821699830618774,0.037474438322312904,0.0650843893826911
9,0.05081763615210851,0.03131004321304234,0.05604788181230878
10,0.05323364653370597,0.03355353895687696,0.05391646221731648
11,0.06545881407730507,0.04255313307724216,0.061928373676809395
12,0.05384788594462655,0.03415732384856903,0.048793894041216736
13,0.044424975234450714,0.027896402206159,0.0401994316754016
14,0.04370842941782691,0.0278262316785527,0.03728503050903479
15,0.04229151389815591,0.02715776361186396,0.03416060303535425
16,0.042787018598932205,0.027463901392889744,0.03242402340313702
17,0.0408122492107478,0.025949193729144154,0.0300656310988195
18,0.037764823572202164,0.024089348558900936,0.027699976397508926
19,0.036950680794137894,0.023641538044268436,0.02578018360178579
20,0.036711020451603515,0.023512124507264656,0.0
21,0.03468461831410726,0.02230398419002692,0.0
22,0.032830539526361405,0.021000162543108065,0.0
23,0.03213929159171654,0.020615194133962646,0.0
24,0.030595771291039207,0.01962606603223266,0.0
25,0.03145955999692281,0.020145893802471233,0.0
26,0.030448288176998947,0.019444299960565386,0.0
27,0.029910203182336056,0.01924119723226988,0.0
28,0.02888203863844727,0.01858214283305587,0.0
29,0.028944625773213127,0.01866293747937589,0.0
