epoch,dice loss,BCE loss,MSE loss
0,0.7255769413476889,0.4118701889984474,0.44460326853146576
1,0.5986399996665216,0.22589121710869572,0.3083347818847423
2,0.5163432864665175,0.2076392818893763,0.2581322853451876
3,0.4729508533441352,0.19187576595712802,0.21768994935502017
4,0.47535438071588504,0.20455016749824045,0.1958952321969795
5,0.4661509190735064,0.19195721094798557,0.17786711704852423
6,0.43665424490217847,0.19618881839139352,0.15935636907562942
7,0.4180688935953409,0.18223081478542302,0.1397773051454175
8,0.40623151588116113,0.17063388370723798,0.12827221555904136
9,0.3863196838489008,0.17001903279730338,0.12010696263436753
10,0.3830979650615634,0.16343724067324492,0.11177579365379742
11,0.3602298686884862,0.15363665815626218,0.10010759103632136
12,0.3643950594301337,0.1559716791977097,0.09385857842419872
13,0.33437397625733717,0.14945520393563044,0.08846857167261768
14,0.34992462500347954,0.15783045191716258,0.08711448525582995
15,0.32182137007826656,0.1404787409791315,0.07983626661812712
16,0.3456163604210917,0.1622253896222657,0.08524280447506541
17,0.3564883856093337,0.15767172988384,0.07974645866046333
18,0.3595154417239142,0.15379317261670766,0.0831783785277595
19,0.33455801880420366,0.13326785187213247,0.06809518894841594
