epoch,dice loss,BCE loss,L1 loss
0,0.3616772320866585,0.18084523886442183,0.14915359607338904
1,0.18936541640758514,0.10103946602344513,0.1028450967669487
2,0.12528134524822235,0.07896410864591598,0.08610629850625992
3,0.09883181661367417,0.06850950679183006,0.07524716606736183
4,0.0851547360420227,0.062140623539686204,0.0681294917166233
5,0.07705212038755417,0.05809380637109279,0.06205994603037834
6,0.07128837835788727,0.05462757988274097,0.05828129549324512
7,0.06592612677812576,0.05112427408993244,0.05320279593765736
8,0.06278694450855254,0.048907318457961084,0.05004992166161537
9,0.060936133742332456,0.04795558128505945,0.04797502665221691
10,0.056394524574279785,0.04429237159341574,0.04370727279782295
11,0.05691798484325409,0.04527654618024826,0.04317701053619385
12,0.058275013327598574,0.046630642980337145,0.042403251260519026
13,0.051921750783920285,0.04104854663461447,0.03852141031622887
14,0.050215311765670775,0.03967210827022791,0.03657735301554203
15,0.04883307141065597,0.03870973878353834,0.03491695392131806
16,0.04836659628152847,0.03843454600125551,0.034003188401460646
17,0.04623351687192917,0.03671873434633017,0.03225872893631458
18,0.05246940940618515,0.042188721001148226,0.0349971337094903
19,0.04501534867286682,0.03570727479457855,0.03144227385520935
20,0.043243680715560916,0.03421325216442347,0.0
21,0.04199870604276657,0.033274403773248196,0.0
22,0.040873244404792786,0.032381916038692,0.0
23,0.04018081849813461,0.03186048898100853,0.0
24,0.039590796768665316,0.03138400463014841,0.0
25,0.03895093524456024,0.03086468879878521,0.0
26,0.037969835162162784,0.030054759718477726,0.0
27,0.03713960045576096,0.029462971068918705,0.0
28,0.03662420624494553,0.02902190262824297,0.0
29,0.035545352041721344,0.02811902730166912,0.0
