epoch,"X(0,1)","X(0,2)","X(0,3)","X(0,4)"
0,0.03342993169071826,0.029878735145989883,0.027537537144219623,0.0337781550243814
1,0.042882159827871524,0.0431909173172205,0.05454954013545463,0.05358648343764721
2,0.008703473970254368,0.004803059506230056,0.00253142529569725,0.0023121984458099334
3,0.06421207700003968,0.06750791983560045,0.064710119164529,0.06349218056160719
4,0.059183550245584325,0.04795710214889271,0.04421791636404839,0.03955816233808056
5,0.06196105488120241,0.0647701986649252,0.060863012408322474,0.05679692260603955
6,0.09830429148984123,0.10154701129315381,0.08820267647821853,0.09396593229092182
7,0.04729663999580922,0.038679153663572816,0.01627646143025386,0.0293100507020678
8,0.02003608470407384,0.015993791416610507,0.010984572757518029,0.012444579307428169
9,0.08732863410098597,0.10424772657310352,0.09372083581810658,0.08794336999825975
10,0.045821847116693536,0.05034474224010681,0.04585491544864279,0.0456526597089907
11,0.010857810827338712,0.00948906657929988,0.007144108715595955,0.00827408136373901
12,0.051189334864946125,0.05883901906100676,0.058126216714686534,0.05964325550581982
13,0.05497329655360985,0.04415127670669809,0.041812421709882405,0.04740420543338529
14,0.05512433839922256,0.04811981883137784,0.04958167275849809,0.050045372878617427
15,0.04607347907508386,0.049622607891735164,0.05553390680901468,0.04874542636172648
16,0.019681234108383194,0.02105702915813457,0.03708686300137259,0.03207735306127591
17,0.04640897957133735,0.04775121820173499,0.05023648358009597,0.051614982353249676
18,0.06949639982207025,0.06761084528679544,0.06351846310884711,0.06629912352110161
19,0.049333712799434964,0.04806193253619874,0.0510595118567506,0.05031857074813006
