epoch,dice loss,BCE loss,MSE loss
0,0.40435326011418415,0.14811585005029101,0.39531673034618703
1,0.27150471162092205,0.06860081006204057,0.26767238963574064
2,0.28108123285744024,0.06934423773889722,0.2229823965538032
3,0.24481560405330025,0.06057358365609032,0.1857072487748417
4,0.22765276776248677,0.06649932160808592,0.16509177994904042
5,0.2038878880963554,0.07003488431330701,0.15611617294624722
6,0.20117262368712477,0.06726783678293008,0.13593479031456351
7,0.18304566197729638,0.07103424886159077,0.11862002928978403
8,0.16375845291297814,0.06690985096336731,0.11371642428130681
9,0.1888893611756638,0.05367586567887961,0.10123884177515867
10,0.18195184449428123,0.054425794610623066,0.09613058471371767
11,0.18663671552255146,0.0533833979876846,0.09198994291224603
12,0.18647955726433504,0.051330048650180114,0.0856915667268183
13,0.16105535065555923,0.05173827137719029,0.07794192279396901
14,0.1418339830043131,0.048097235120564866,0.07257267409365116
15,0.16324493629906012,0.04393790450421372,0.06915922673261034
16,0.15576417040341015,0.04472856892004774,0.06260019506420597
17,0.1643499270136506,0.0506584653235642,0.06355557953629547
18,0.1802493258485935,0.04920533468183886,0.06057036225426241
19,0.1618152918410917,0.04581017649777206,0.05857765941272362
