epoch,dice loss,BCE loss
0,0.42454515758788947,0.25214078119306854
1,0.19602169299667532,0.09019178293193832
2,0.11714220859787682,0.05928862450475043
3,0.09308658088698532,0.05233428948982195
4,0.07777509002974539,0.04477563968887835
5,0.06991316761934396,0.04168566694539605
6,0.061941353660641296,0.03725476379534512
7,0.06055465543811971,0.03718580277354428
8,0.053170314566655594,0.03269821444921421
9,0.050995459159215294,0.03175811424399867
10,0.04792754194050124,0.029922956403231983
11,0.045430844254565964,0.02835889631938754
12,0.04223376377062364,0.02635381966264862
13,0.03935460926908435,0.024525119979498966
14,0.039455126858118805,0.024830976275332046
15,0.037209055866255905,0.023333592283906357
16,0.03755382380702279,0.023778628924805107
17,0.03647779154055046,0.02307949024675922
18,0.03411068022251129,0.021579294098597584
19,0.03406733748587695,0.02140068993762587
